"","Taxonomic_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sig","lab","xvals","yvals","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4454","4454",1.15988192790711,0.176468226537897,0.843807145149552,0.201483043334088,0.840320887021808,0.999599735494037,"NS",NA,0.176468226537897,0.840320887021808,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Araceae",NA,NA
"4479","4479",741.415400490457,0.953071859445366,0.729868056947707,1.32148601442306,0.186339362748385,0.999599735494037,"NS",NA,0.953071859445366,0.186339362748385,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"4613","4613",0.208698019368652,-0.022703370607336,0.692740916431499,-0.0399344981300304,0.96814534749984,0.999599735494037,"NS",NA,-0.022703370607336,0.96814534749984,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Bromeliaceae",NA,NA
"4637","4637",0.391225641736673,-0.0550189448193785,0.696775096912596,-0.0766806669864454,0.938877584760199,0.999599735494037,"NS",NA,-0.0550189448193785,0.938877584760199,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae",NA,NA
"4668","4668",4.07514673277017,-0.0347565745686502,0.828957661931719,-0.0649919413818733,0.948180416536203,0.999599735494037,"NS",NA,-0.0347565745686502,0.948180416536203,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae",NA,NA
"4671","4671",2.01400783301955,0.265446532804937,0.858985128120667,0.236863511067385,0.812762678460697,0.999599735494037,"NS",NA,0.265446532804937,0.812762678460697,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Dioscoreaceae",NA,NA
"4710","4710",2583.63897431099,-0.370424576528882,0.820731088717778,-0.336161819051217,0.736748843149452,0.999599735494037,"NS",NA,-0.370424576528882,0.736748843149452,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae",NA,NA
"4747","4747",1.21217941464975,-0.0987722557628538,0.845610903174831,-0.169582581472288,0.86533842209232,0.999599735494037,"NS",NA,-0.0987722557628538,0.86533842209232,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae",NA,NA
"4893","4893",4.999695288313,0.248009576130479,0.839912775315058,0.342190278718804,0.732207700594451,0.999599735494037,"NS",NA,0.248009576130479,0.732207700594451,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA,NA
"5654","5654",1.57848894482566,0.0658970268802562,0.854567400706122,0.0555008578939992,0.955739446504816,0.999599735494037,"NS",NA,0.0658970268802562,0.955739446504816,"Eukaryota",NA,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae",NA,NA
"5809","5809",0.340289148911303,0.0984248296350996,0.695144092930185,0.168060310940921,0.866535832467384,0.999599735494037,"NS",NA,0.0984248296350996,0.866535832467384,"Eukaryota",NA,"Apicomplexa","Conoidasida","Eucoccidiorida","Sarcocystidae",NA,NA
"6214","6214",0.38206256783534,-0.208996848540632,0.696493620247064,-0.303738510021098,0.761327116456566,0.999599735494037,"NS",NA,-0.208996848540632,0.761327116456566,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Cyclophyllidea","Hymenolepididae",NA,NA
"6553","6553",0.111830406574786,0.117171892009819,0.690959272828145,0.16932579274968,0.865540389217938,0.999599735494037,"NS",NA,0.117171892009819,0.865540389217938,"Eukaryota","Metazoa","Mollusca","Bivalvia","Arcoida","Arcidae",NA,NA
"6563","6563",2.04488164091794,0.24463932685287,0.867422123400543,0.280223511016086,0.779306029791337,0.999599735494037,"NS",NA,0.24463932685287,0.779306029791337,"Eukaryota","Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae",NA,NA
"6846","6846",0.454513462699751,0.112499455072875,0.694716794495876,0.302872710839547,0.761986868756887,0.999599735494037,"NS",NA,0.112499455072875,0.761986868756887,"Eukaryota","Metazoa","Arthropoda","Merostomata","Xiphosura","Limulidae",NA,NA
"6952","6952",0.111830406574786,0.117171892009819,0.690959272828145,0.16932579274968,0.865540389217938,0.999599735494037,"NS",NA,0.117171892009819,0.865540389217938,"Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae",NA,NA
