"","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7"
"303541",12.6584443978047,72.1779181286114,5.38576746614852,8.6327458947757,6.64412252899458,81.0611374293623,15.5639887675845,10.9815514678317
"320497",15.1901332773657,0,0,0,8.17738157414717,0,0,0
"321550",46.8362442718775,1.87475112022367,1.19683721469967,3.45309835791028,31.1762672514361,0.551436309043281,1.79584485779821,0
"326968",21.519355476268,0,0,1.72654917895514,22.4877993289047,2.20574523617312,0.598614952599404,0
"338565",0,0,0,0,0,0,0,0
"340146",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"361940",1.26584443978047,0,0.598418607349836,0,0,0.551436309043281,3.59168971559642,0
"362788",2.53168887956094,0,1.79525582204951,0,3.06651809030519,0,0,0
"371960",43.0387109525361,0,0,0,18.3991085418311,0,0,0
"373126",39.2411776331946,0,0,0,25.0432310708257,0,0,0
"373270",1.26584443978047,0,0,0,0,0,0,0
"375286",1.26584443978047,0,0,0,0,0,0,0
"391905",1.26584443978047,0,0,0,0,0,0,0
"396313",1.26584443978047,0,0.598418607349836,0,0,0,0.598614952599404,0
"399742",1.26584443978047,0,0,0,1.0221726967684,1.10287261808656,0,0
"407035",5.06337775912189,0,0,0,0,0,0,0
"407288",1.26584443978047,0,0,1.72654917895514,0,0,0,0
"411798",12.6584443978047,0,0.598418607349836,1.72654917895514,16.8658494966785,0.551436309043281,0,0
"432096",0,0,0,0,0,0,0,0
"435897",1.26584443978047,0,0,1.72654917895514,0,0,0,0
"445709",1.26584443978047,0,0,0,0,0,0,0
"451527",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"459472",5.06337775912189,0,0,0,1.53325904515259,0,0,0
"470934",25.3168887956094,0,2.39367442939934,3.45309835791028,24.5321447224415,1.10287261808656,19.1556784831809,0
"472368",3.79753331934142,0,0,0,0.511086348384198,1.10287261808656,0,0
"477641",1.26584443978047,0,0,1.72654917895514,0.511086348384198,0,0,0
"482564",0,0,0,0,0,0,0,0
"488142",13.9242888375852,0,0,0,10.221726967684,0,1.19722990519881,0
"519472",2.53168887956094,0,0,0,0,0.551436309043281,0,0
"528244",1.26584443978047,0,0,0,0,0,0,0
"528268",1.26584443978047,4.68687780055918,21.5430698645941,1.72654917895514,3.57760443868939,5.51436309043281,16.7612186727833,5.49077573391586
"535744",0,0,0,0,0,0,0,0
"546874",7.59506663868283,0,0,0,1.53325904515259,0,0,0
"585455",1.26584443978047,0,0,0,0,0,0,0
"597456",35.4436443138532,30.9333934836906,92.1564655318747,20.7185901474617,93.0177154059241,12.6830351079955,62.8545700229374,5.49077573391586
"610380",1.26584443978047,0,0,0,0,0,0,5.49077573391586
"653948",2.53168887956094,0,0,0,0.511086348384198,0,0.598614952599404,0
"655307",1.26584443978047,0.937375560111837,0,0,0,0.551436309043281,0,0
"661191",2.53168887956094,0,7.18102328819803,0,4.08869078707359,0.551436309043281,10.1764541941899,0
"665097",0,0,0,0,0,0.551436309043281,1.19722990519881,0
"665914",3.79753331934142,0,0,0,0,0,0.598614952599404,0
"680683",2.53168887956094,0,0,0,0,0,0,5.49077573391586
"684552",1.26584443978047,0,0,0,0,0,0,0
"688394",1.26584443978047,0,0,0,0,0,0,0
"691774",12.6584443978047,0.937375560111837,4.18893025144885,0,3.57760443868939,0.551436309043281,0.598614952599404,0
"702115",1.26584443978047,0,0,0,0,0,0,0
"717740",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"743375",1.26584443978047,0,0,0,0.511086348384198,0.551436309043281,0,0
"863372",2.53168887956094,3.74950224044735,19.7478140425446,6.90619671582056,0.511086348384198,0,26.3390579143738,49.4169816052427
"885040",1.26584443978047,0,0,0,0,0,0,0
"891974",6.32922219890236,0,0,3.45309835791028,6.64412252899458,0,0,0
"929813",6.32922219890236,0,0,0,3.06651809030519,1.65430892712984,0,0
"933131",2.53168887956094,0,0,0,0,0,0,0
"935293",1.26584443978047,0,0,0,0,0,0,0
"946334",1.26584443978047,0,0,0,0,0,0,0
"1071379",0,0,0,0,0,0,0,0
"1076550",1.26584443978047,0,1.19683721469967,0,0,0.551436309043281,4.19030466819583,0
"1100043",162628.098556356,10352.3756858751,126479.961593639,778898.131102033,97153.426137049,12403.4568993105,309586.892265739,1201991.20668725
"1108849",0,0,0,0,0,0,0,0
"1196083",0,0,0,0,0,0.551436309043281,0,0
"1196095",20.2535110364876,247.467147869525,51.4640002320859,236.537237516854,37.3093034320465,1602.47391407978,37.7127420137624,16.4723272017476
"1199245",1.26584443978047,0,0,0,0,0,0,0
"1209493",0,0,0,0,0,0,0,0
"1218493",8.8609110784633,38.4323979645853,2.99209303674918,8.6327458947757,16.8658494966785,59.0036850676311,4.78891962079523,5.49077573391586
"1218494",5.06337775912189,33.7455201640261,1.79525582204951,10.3592950737308,5.62194983222618,19.3002708165148,0.598614952599404,5.49077573391586
"1218495",8.8609110784633,22.4970134426841,41.2908839071387,24.171688505372,17.8880221934469,28.1232517612073,80.2144036483201,0
"1218496",36.7094887536337,47.8061535657037,29.9209303674918,32.8044344001477,93.5288017543083,30.3289969973805,43.6988915397565,5.49077573391586
"1219382",1.26584443978047,0,0,0,0,0,0,0
"1239307",2296.24181376178,0.937375560111837,2.99209303674918,1.72654917895514,1776.02506063509,15.4402166532119,0.598614952599404,16.4723272017476
"1267021",46.8362442718775,1466.99275157502,116.691628433218,336.677089896252,95.0620607994609,5938.4176120871,93.383932605507,16.4723272017476
"1273402",6.32922219890236,0,0,0,1.53325904515259,0,0,0
"1278212",0,0,0,0,0,0,0,0
"1285595",0,0,0,0,0,0,0,0
"1291283",11.3925999580242,0,0,3.45309835791028,1.53325904515259,0,0.598614952599404,5.49077573391586
"1331682",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"1338689",7.59506663868283,0,0,0,2.04434539353679,0,0,0
"1365876",1.26584443978047,3.74950224044735,0,0,0,8.27154463564922,0,0
"1367496",1.26584443978047,0,0,0,0,0,0,0
"1411621",1.26584443978047,0,0,0,0.511086348384198,0.551436309043281,0,0
"1463165",1.26584443978047,0,0,0,0.511086348384198,0,0,0
"1484158",1.26584443978047,0,0,3.45309835791028,3.06651809030519,0,1.19722990519881,0
"1486991",0,0,0,0,0,0,0,0
"1495331",1.26584443978047,0,0,0,0,0,0,0
"1499687",1.26584443978047,0,0,0,0,0,0,0
"1500686",1.26584443978047,0,0,0,0,0,0,0
"1510841",108.862621821121,27.1838912432433,22.7399070792938,119.131893347905,157.414595302333,26.4689428340775,38.3113569663618,137.269393347896
"1523415",6.32922219890236,0.937375560111837,0,0,1.53325904515259,0,0.598614952599404,0
"1545702",3.79753331934142,10.3111311612302,0.598418607349836,8.6327458947757,1.53325904515259,11.0287261808656,0.598614952599404,0
"1545728",1.26584443978047,0,0,0,0,0,0,0
"1549858",1.26584443978047,0,0,0,0,0,0.598614952599404,0
"1573227",0,0,0,0,0,0,0,0
"1579979",1.26584443978047,0,0,0,0,0,0,0
"1583341",1.26584443978047,0,0,0,0.511086348384198,0,0.598614952599404,0
"1609758",1.26584443978047,0,0,0,0,0,0,0
"1615494",5.06337775912189,1.87475112022367,5.38576746614852,8.6327458947757,12.2660723612208,0,13.7681439097863,27.4538786695793
"1619313",91.140799664194,7.49900448089469,16.7557210057954,6.90619671582056,110.905737599371,3.30861785425969,28.134902772172,16.4723272017476
"1639133",648.112353167602,0,0.598418607349836,0,405.291474268669,3.30861785425969,1.19722990519881,5.49077573391586
"1686310",21.519355476268,65.6162892078286,31.1177675821915,127.76463924268,27.5986628127467,1067.02925799875,44.8961214449553,263.557235227961
"1703250",5.06337775912189,0,0,0,0,0,0,0
"1708541",0,0,0,0,0,0,0,0
"1718259",0,0,0,0,0,0,0,0
"1744888",5.06337775912189,0.937375560111837,0,0,1.53325904515259,0,1.19722990519881,0
"1745854",1.26584443978047,0,0,0,0,0,0,0
"1746199",1.26584443978047,0,0,0,0,0,0,0
