"","Taxonomic_ID","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"118","27482",21,17,26,70,4,7,5,0,"Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA
"119","28056",3,0,0,0,1,0,0,0,"Bacteria",NA,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"120","28256",28,3,6,34,24,8,5,8,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae",NA,NA
"121","28556",141,18,22,8,67,11,11,21,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA
"122","28843",8,7,24,65,4,2,5,495,"Eukaryota","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae",NA,NA
"123","29217",1,0,0,0,0,0,0,0,"Eukaryota",NA,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae",NA,NA
"124","31245",1,0,1,0,1,1,0,0,"Eukaryota","Metazoa","Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae",NA,NA
"125","31953",13,31,12,63,1,40,15,25,"Bacteria",NA,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"126","31957",12,2209,126,91,18,557,36,593,"Bacteria",NA,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,NA
"127","31977",3,78,2,0,2,24,1,12,"Bacteria",NA,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae",NA,NA
"128","31989",4,12,1,2,3,1,2,4,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"129","31993",1,0,0,0,0,0,0,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae",NA,NA
"130","32033",36,14,179,44,19,9,360,103,"Bacteria",NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"131","32262",11,11,8,2,3,2,1,0,"Eukaryota","Metazoa","Arthropoda","Arachnida","Trombidiformes","Tetranychidae",NA,NA
"132","33415",6,1,1,4,8,5,4,8,"Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Nymphalidae",NA,NA
"133","33925",9,0,0,0,30,1,1,0,"Bacteria",NA,"Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae",NA,NA
"134","33958",23803,37077,30409,49159,80189,54272,68530,6326,"Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"135","34366",1,0,1,0,0,0,0,0,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae",NA,NA
"136","34636",1,0,0,0,0,0,0,0,"Eukaryota","Metazoa","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae",NA,NA
"137","34643",10,0,0,0,7,0,0,4,"Eukaryota","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA
"138","36668",26,1,2,4,32,3,11,16,"Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae",NA,NA
"139","38749",1,0,0,0,0,1,0,0,"Eukaryota",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Phaeodactylaceae",NA,NA
"140","40552",1222,0,3,4,1651,1,5,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae",NA,NA
"141","41295",1,0,0,0,0,0,2,0,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA
"142","41297",43,510,3,4,24,18,15,29,"Bacteria",NA,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"143","41399",27,2,14,4,24,1,9,8,"Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Phrymaceae",NA,NA
